ANO;MES;SENADOR;TIPO_DESPESA;CNPJ_CPF;FORNECEDOR;DOCUMENTO;DATA;DETALHAMENTO;VALOR_DESPESA;COD_DOCUMENTO
2022;6;ACIR GURGACZ;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;6;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;6;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;6;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;6;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;6;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;6;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;7;ACIR GURGACZ;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;7;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;7;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;7;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;7;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;7;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;7;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;7;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;7;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;8;ACIR GURGACZ;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;8;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;8;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;8;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;8;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;8;ACIR GURGACZ;Locomoção;null;null;null;null;null;null;null
2022;8;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;8;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;8;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;8;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;8;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;8;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
2022;8;ACIR GURGACZ;Passagens aéreas;null;null;null;null;null;null;null
